ČÍSLO FAKTURY,IČO SPOLEČNOSTI,ČÁSTKA (V CELÝCH KČ)
180380,18581928,139362
180381,92019399,715370
180382,92019399,2969354
180383,18581928,339248
180384,18581928,1640388
180385,18539217,2093797
180386,05159822,2194069
180387,06230932,2619998
180388,01846359,201663
180389,92019399,2001473
180390,67821984,1820395
180391,06230932,1141888
180392,05159822,2817499
180393,92019399,1848959
180394,01846359,2713829
180395,02838109,2973727
180396,9831829,2605151
180397,01846359,2875937
180398,18539217,2673542
180399,92019399,966352
180400,18539217,804814
180401,18539217,1164588
180402,92019399,2223866
180403,33828139,533015
180404,33828139,2590746
180405,05159822,2414752
180406,18581928,708745
180407,9831829,1643112
180408,06230932,2570990
180409,06230932,-1922
180410,18539217,540675
180411,01846359,1703050
180412,18539217,1135948
180413,67821984,1749459
180414,18581928,773899
180415,02838109,1382932
180416,9831829,126884
180417,06230932,642871
180418,18581928,1847645
180419,67821984,1850211
180420,9831829,1793540
180421,92019399,892143
180422,05159822,633982
180423,18539217,12690
180424,18539217,2121030
180425,33828139,15491
180426,05159822,124823
180427,33828139,1857996
180428,02838109,2926250
180429,18581928,2579656
180430,9831829,1247064
180431,92019399,2270807
180432,18539217,607361
180433,18539217,1737875
180434,92019399,2327760
180435,05159822,1793278
180436,92019399,895471
180437,33828139,2356667
180438,33828139,1148556
180439,92019399,1723384
180440,05159822,2982934
180441,18581928,1316950
180442,05159822,1086630
180443,18539217,2764254
180444,18581928,153554
180445,06230932,2268197
180446,01846359,412242
180447,33828139,2813274
180448,06230932,1730331
180449,67821984,1217059
180450,33828139,2657199
180451,01846359,363203
180452,02838109,390570
180453,06230932,2671279
180454,18581928,1768059
180455,92019399,2274783
180456,18581928,141201
180457,01846359,1020834
180458,18539217,1024171
180459,18581928,1618723
180460,06230932,2881195
180461,92019399,2775958
180462,92019399,1866046
180463,9831829,544642
180464,05159822,621971
180465,06230932,197219
180466,06230932,2906299
180467,92019399,903142
180468,01846359,1603516
180469,06230932,1082987
180470,9831829,2954317
180471,05159822,1780791
180472,01846359,2067268
180473,05159822,2624886
180474,67821984,2761245
180475,92019399,1445780
180476,01846359,2853537
180477,06230932,1474500
180478,33828139,2099244
180479,01846359,1555589
180480,18581928,2895837
180481,92019399,176743
180482,33828139,2633572
180483,05159822,1387255
180484,92019399,2374227
180485,92019399,2534408
180486,18539217,2585375
180487,67821984,1595241
180488,02838109,1636087
180489,18581928,2437829
180490,01846359,287240
180491,33828139,1417299
180492,02838109,576
180493,18539217,2152836
180494,18539217,1455656
180495,9831829,1686219
180496,06230932,1130634
180497,05159822,2445453
180498,9831829,202396
180499,33828139,1899079
180500,18581928,2794393
180501,18539217,2323343
180502,02838109,523285
180503,92019399,242456
180504,33828139,50585
180505,92019399,2927660
180506,06230932,2172535
180507,67821984,619956
180508,9831829,-4481
180509,02838109,2468637
180510,06230932,2872258
180511,33828139,2667029
180512,06230932,2921491
180513,92019399,2668179
180514,06230932,1983509
180515,02838109,1717702
180516,9831829,654542
180517,05159822,166599
180518,05159822,2215919
180519,67821984,253573
180520,33828139,1965284
180521,06230932,1984618
180522,05159822,1889607
180523,06230932,264969
180524,18581928,1004512
180525,33828139,284256
180526,92019399,317757
180527,06230932,936385
180528,01846359,1684747
180529,01846359,2776154
180530,67821984,1843554
180531,05159822,380902
180532,92019399,620322
180533,9831829,1282794
180534,9831829,2118073
180535,92019399,2103649
180536,05159822,2995407
180537,33828139,1909352
180538,01846359,2385661
180539,18581928,2600649
180540,05159822,451021
180541,33828139,2154648
180542,01846359,1595515
180543,02838109,2060885
180544,92019399,403442
180545,06230932,98268
180546,18539217,265684
180547,06230932,2619948
180548,02838109,528924
180549,01846359,-9441
180550,02838109,2214544
180551,33828139,2047186
180552,02838109,576399
180553,18539217,1264546
180554,67821984,1141551
180555,18539217,822068
180556,9831829,44069
180557,33828139,2704899
180558,18539217,1192047
180559,01846359,267540
180560,92019399,2486507
180561,02838109,2287481
180562,18539217,2550872
180563,01846359,278773
180564,92019399,1600062
180565,33828139,1254296
180566,18581928,673286
180567,92019399,2448097
180568,02838109,2468972
180569,18539217,2679030
180570,06230932,650038
180571,06230932,575246
180572,92019399,986577
180573,67821984,1723035
180574,67821984,50028
180575,02838109,47295
180576,67821984,2110924
180577,33828139,392734
180578,05159822,2166110
180579,9831829,1647716
180580,05159822,2427606
180581,06230932,344532
180582,92019399,349043
180583,06230932,658800
180584,01846359,854318
180585,9831829,1069557
180586,02838109,1103035
180587,02838109,895413
180588,18539217,11082
180589,33828139,1108692
180590,02838109,289764
180591,18539217,1016362
180592,05159822,2307792
180593,67821984,2019921
180594,18539217,715632
180595,18581928,1298480
180596,02838109,553989
180597,92019399,2974920
180598,02838109,2468503
180599,01846359,1671451
180600,67821984,537516
180601,33828139,201466
180602,18581928,2315063
180603,02838109,1469167
180604,06230932,1060929
180605,92019399,2284309
180606,18581928,1764948
180607,33828139,938997
180608,9831829,449232
180609,92019399,2307627
180610,67821984,504456
180611,18539217,1602579
180612,06230932,601546
180613,33828139,2512436
180614,05159822,1016391
180615,18581928,2651727
180616,18581928,1164095
180617,92019399,1257317
180618,18539217,1450755
180619,67821984,2638267
180620,06230932,936108
180621,33828139,2159288
180622,06230932,616697
180623,9831829,1437643
180624,33828139,1855835
180625,06230932,316750
180626,05159822,1564424
180627,33828139,116249
180628,01846359,946328
180629,33828139,121468
180630,05159822,876681
180631,9831829,896024
180632,9831829,1201253
180633,05159822,1580542
180634,18581928,649108
180635,92019399,1659590
180636,06230932,1892539
180637,06230932,2209442
180638,18581928,205216
180639,01846359,225329
180640,06230932,1727114
180641,18581928,2640041
180642,33828139,2174559
180643,92019399,2430169
180644,02838109,1748096
180645,18539217,504395
180646,92019399,1828864
180647,02838109,2075267
180648,06230932,1106708
180649,92019399,1539118
180650,02838109,2014114
180651,01846359,2235372
180652,02838109,200373
180653,92019399,2537883
180654,33828139,1183831
180655,02838109,117709
180656,18539217,469418
180657,05159822,186529
180658,02838109,2543063
180659,92019399,210638
180660,33828139,1091264
180661,92019399,2825759
180662,33828139,2702303
180663,9831829,1379560
180664,18539217,1205980
180665,01846359,77655
180666,67821984,278258
180667,06230932,2571142
180668,92019399,312566
180669,01846359,203779
180670,05159822,968966
180671,67821984,1391719
180672,05159822,2708933
180673,05159822,955344
180674,92019399,744870
180675,9831829,2806426
180676,06230932,8507
180677,05159822,151576
180678,33828139,221469
180679,06230932,239394
180680,33828139,1546601
180681,06230932,733868
180682,92019399,1664556
180683,06230932,1937350
180684,18539217,570463
180685,9831829,1349530
180686,92019399,2632772
180687,02838109,1925873
180688,92019399,1593821
180689,01846359,1112807
180690,01846359,1697852
180691,92019399,851282
180692,18581928,2771068
180693,06230932,2632508
180694,33828139,1318132
180695,02838109,2105173
180696,92019399,1898457
180697,18539217,2670166
180698,05159822,1329949
180699,02838109,2297849
180700,33828139,422099
180701,9831829,1598965
180702,9831829,2133538
180703,18581928,2728541
180704,06230932,2710042
180705,05159822,2212456
180706,18539217,2236040
180707,05159822,2476062
180708,18539217,1442136
180709,92019399,1368684
180710,33828139,473785
180711,92019399,1480779
180712,33828139,88863
180713,06230932,1130049
180714,01846359,803905
180715,18581928,608964
180716,33828139,807259
180717,18539217,2666321
180718,02838109,2340725
180719,18539217,1380584
180720,9831829,11565
180721,02838109,2318375
180722,18539217,2712295
180723,01846359,2080940
180724,18539217,1324411
180725,92019399,745643
180726,18581928,1984285
180727,92019399,-6866
180728,33828139,298833
180729,01846359,1964825
180730,67821984,2791064
180731,9831829,40257
180732,67821984,2689706
180733,02838109,1125543
180734,18539217,2179457
180735,06230932,1851029
180736,06230932,1113616
180737,92019399,2650688
180738,01846359,958906
180739,67821984,2049530
180740,01846359,681289
180741,05159822,159827
180742,02838109,2545294
180743,33828139,843972
180744,05159822,2491506
180745,9831829,-7299
180746,06230932,2514385
180747,9831829,1731803
180748,06230932,574917
180749,18581928,193010
180750,33828139,351524
180751,06230932,2437994
180752,33828139,2889519
180753,9831829,763933
180754,33828139,2116368
180755,18539217,2803104
180756,92019399,2986149
180757,9831829,985408
180758,01846359,2806275
180759,9831829,1830680
180760,18581928,641643
180761,02838109,1225895
180762,18581928,494167
180763,05159822,2791101
180764,01846359,1533059
180765,01846359,2640687
180766,05159822,271383
180767,18539217,1501306
180768,05159822,524279
180769,02838109,2266473
180770,05159822,2061282
180771,06230932,2667145
180772,9831829,-5836
180773,05159822,512848
180774,18539217,1275362
180775,05159822,158781
180776,06230932,2769677
180777,33828139,827533
180778,9831829,611707
180779,18581928,2489124
180780,05159822,1350573
180781,18581928,906
180782,18581928,907770
180783,18581928,2654589
180784,05159822,-18547
180785,18581928,2176282
180786,9831829,2691498
180787,9831829,968754
180788,67821984,288087
180789,67821984,2935099
180790,06230932,852817
180791,01846359,2810034
180792,9831829,234450
180793,02838109,22522
180794,18539217,2487063
180795,05159822,1436722
180796,92019399,1971276
180797,9831829,2514658
180798,18581928,12471
180799,05159822,2749186
180800,92019399,1861204
180801,18539217,2675250
180802,9831829,2022136
180803,9831829,2347393
180804,67821984,1576178
180805,06230932,2370104
180806,67821984,1465987
180807,67821984,29923
180808,67821984,2730269
180809,02838109,2594800
180810,01846359,348530
180811,01846359,2031851
180812,33828139,2046251
180813,33828139,1817222
180814,06230932,13733
180815,18539217,1864653
180816,92019399,2115257
180817,18581928,110697
180818,9831829,534459
180819,33828139,712993
180820,9831829,1034036
180821,18581928,404846
180822,06230932,2694636
180823,92019399,2853528
180824,9831829,64006
180825,18581928,2154323
180826,18539217,224579
180827,18581928,698463
180828,92019399,62118
180829,02838109,724737
180830,33828139,247125
180831,92019399,631325
180832,9831829,916802
180833,33828139,2562158
180834,18539217,301953
180835,92019399,1552800
180836,02838109,1285828
180837,02838109,1920342
180838,92019399,2245611
180839,01846359,1109406
180840,05159822,1550811
180841,33828139,2075464
180842,05159822,2318257
180843,18539217,1085401
180844,18581928,770831
180845,67821984,1133411
180846,01846359,2883754
180847,05159822,2861263
180848,06230932,104115
180849,67821984,332153
180850,05159822,1511050
180851,9831829,1409093
180852,06230932,2681599
180853,05159822,1630633
180854,18539217,1661012
180855,92019399,1478502
180856,9831829,1509260
180857,18581928,2336718
180858,01846359,1021818
180859,02838109,347079
180860,01846359,2800928
180861,18539217,360679
180862,9831829,2812381
180863,18539217,71188
180864,06230932,1224649
180865,9831829,1256524
180866,01846359,1146611
180867,92019399,2997622
180868,18581928,269756
180869,18539217,2937001
180870,33828139,683567
180871,18539217,2215683
180872,33828139,2570105
180873,02838109,262638
180874,33828139,1970807
180875,92019399,1312517
180876,18581928,474252
180877,02838109,1555176
180878,9831829,900943
180879,01846359,1695794
180880,33828139,2467157
180881,92019399,52589
180882,01846359,1525951
180883,67821984,1478869
180884,18539217,874206
180885,02838109,1385447
180886,67821984,2892540
180887,18539217,803877
180888,9831829,2044482
180889,33828139,2076459
180890,06230932,1791389
180891,33828139,2514665
180892,06230932,2580558
180893,18581928,1729873
180894,06230932,1898492
180895,9831829,2539197
180896,01846359,2199259
180897,06230932,-8572
180898,02838109,2386052
180899,02838109,2421824
180900,92019399,1716423
180901,06230932,2186138
180902,33828139,385887
180903,18581928,1500150
180904,67821984,1643655
180905,01846359,1020866
180906,67821984,1697132
180907,9831829,868353
180908,67821984,60922
180909,01846359,2178448
180910,02838109,51733
180911,02838109,1373877
180912,02838109,1694215
180913,18539217,2623995
180914,9831829,2869024
180915,05159822,60228
180916,9831829,90286
180917,92019399,2541734
180918,18539217,2020992
180919,92019399,2860852
180920,9831829,2662579
180921,05159822,2039092
180922,05159822,1643972
180923,92019399,531507
180924,01846359,973560
180925,01846359,1426490
180926,67821984,1527166
180927,67821984,2767629
180928,02838109,180884
180929,92019399,2516943
180930,06230932,1811333
180931,06230932,1818495
180932,18539217,580339
180933,01846359,2181731
180934,18539217,2350513
180935,02838109,440366
180936,02838109,592997
180937,06230932,246034
180938,01846359,2465140
180939,67821984,972435
180940,18581928,1309989
180941,67821984,415895
180942,01846359,1350624
180943,18581928,2139491
180944,33828139,2579175
180945,92019399,1648902
180946,05159822,1034745
180947,92019399,1020719
180948,9831829,2520869
180949,33828139,506366
180950,06230932,750717
180951,9831829,285581
180952,92019399,2425820
180953,9831829,1423524
180954,18581928,1795504
180955,18581928,1857905
180956,92019399,2186672
180957,33828139,583202
180958,02838109,905482
180959,9831829,89589
180960,18539217,988494
180961,05159822,852446
180962,92019399,299580
180963,05159822,630150
180964,33828139,94491
180965,01846359,640480
180966,05159822,2587339
180967,9831829,2841233
180968,9831829,55794
180969,18581928,368420
180970,01846359,372516
180971,01846359,2629123
180972,92019399,529201
180973,02838109,777631
180974,67821984,1836890
180975,18581928,2158519
180976,67821984,2090987
180977,01846359,2531014
180978,9831829,2824764
180979,18581928,790246
180980,05159822,2824021
180981,18581928,937313
180982,01846359,716952
180983,92019399,2067856
180984,18539217,1525534
180985,18581928,586209
180986,18581928,496854
180987,05159822,2489954
180988,67821984,545826
180989,06230932,2514092
180990,02838109,723350
180991,01846359,2029454
180992,01846359,1493106
180993,33828139,2577343
180994,33828139,984799
180995,18581928,2425886
180996,05159822,2376339
180997,01846359,1052711
180998,05159822,2633199
180999,06230932,1524425
181000,05159822,748144
181001,05159822,1007913
181002,05159822,1900821
181003,33828139,303222
181004,18539217,2360838
181005,02838109,878386
181006,92019399,2792087
181007,01846359,2809862
181008,18581928,2229631
181009,33828139,1511295
181010,67821984,2335670
181011,05159822,2555271
181012,02838109,1970379
181013,92019399,1959602
181014,05159822,323840
181015,01846359,657295
181016,05159822,1100092
181017,06230932,2810584
181018,18539217,651508
181019,18539217,967889
181020,33828139,1510605
181021,05159822,766576
181022,92019399,658181
181023,18539217,1953185
181024,06230932,1236448
181025,18539217,1422910
181026,01846359,1450644
181027,67821984,1214624
181028,02838109,435928
181029,33828139,2767255
181030,67821984,2254988
181031,01846359,1115405
181032,02838109,983731
181033,05159822,827174
181034,06230932,10251
181035,33828139,1927274
181036,67821984,2309107
181037,9831829,2164680
181038,18581928,1060710
181039,18581928,141895
181040,18539217,2265681
181041,33828139,2706600
181042,9831829,587805
181043,06230932,368646
181044,9831829,2116161
181045,06230932,1504103
181046,67821984,2363603
181047,01846359,1283116
181048,02838109,2619158
181049,06230932,2967975
181050,92019399,1398156
181051,05159822,1562722
181052,05159822,-19764
181053,92019399,1563748
181054,18581928,619611
181055,06230932,2720955
181056,02838109,1297575
181057,02838109,154340
181058,33828139,2123195
181059,06230932,625167
181060,67821984,427834
181061,02838109,1463779
181062,05159822,2421079
181063,01846359,2310615
181064,92019399,2733431
181065,05159822,1436987
181066,9831829,2622936
181067,9831829,2248754
181068,06230932,350347
181069,67821984,2142507
181070,05159822,2248328
181071,33828139,1815614
181072,67821984,2242186
181073,67821984,1148721
181074,9831829,1303446
181075,05159822,1400850
181076,18539217,1968371
181077,18581928,968446
181078,67821984,1888281
181079,06230932,1541462
181080,9831829,1939561
181081,18539217,1767881
181082,92019399,368011
181083,06230932,2663237
181084,9831829,362790
181085,33828139,1088288
181086,67821984,251747
181087,9831829,1327823
181088,33828139,1817418
181089,01846359,84176
181090,92019399,830385
181091,18539217,1420308
181092,01846359,1881183
181093,67821984,1641911
181094,01846359,2757262
181095,18581928,574429
181096,05159822,359782
181097,05159822,2315944
181098,92019399,2268625
181099,06230932,2062213
181100,18539217,695503
181101,06230932,1743818
181102,18539217,2554776
181103,67821984,1449732
181104,33828139,291710
181105,67821984,1616370
181106,06230932,659456
181107,06230932,2857615
181108,05159822,2811006
181109,9831829,2923269
181110,02838109,20457
181111,05159822,1831598
181112,01846359,2191041
181113,9831829,2262233
181114,92019399,927705
181115,01846359,2710498
181116,02838109,2832364
181117,92019399,2813498
181118,18539217,2065226
181119,05159822,2854737
181120,05159822,2411827
181121,92019399,-19442
181122,05159822,2597378
181123,18581928,1076221
181124,33828139,1169060
181125,18539217,662477
181126,9831829,2059807
181127,18581928,789383
181128,67821984,5216
181129,01846359,823626
181130,06230932,1758430
181131,06230932,375747
181132,02838109,773441
181133,02838109,684029
181134,9831829,237063
181135,67821984,133326
181136,06230932,164907
181137,18581928,2874853
181138,01846359,65325
181139,06230932,2480559
181140,01846359,1569833
181141,33828139,2232509
181142,18539217,-7808
181143,05159822,669375
181144,02838109,1001668
181145,02838109,1513756
181146,05159822,908604
181147,05159822,1947009
181148,05159822,1210739
181149,67821984,763730
181150,05159822,1892055
181151,18581928,1642755
181152,01846359,607457
181153,06230932,110697
181154,33828139,1003866
181155,18539217,1048145
181156,33828139,2023285
181157,33828139,584316
181158,05159822,952201
181159,67821984,1551863
181160,33828139,415725
181161,18581928,2234564
181162,9831829,1884137
181163,18581928,941864
181164,18581928,1919767
181165,18581928,1699429
181166,05159822,1941965
181167,01846359,45334
181168,33828139,557980
181169,01846359,68836
181170,02838109,635282
181171,01846359,200849
181172,06230932,1522615
181173,67821984,1844247
181174,33828139,1849487
181175,01846359,1280004
181176,05159822,2779793
181177,9831829,759776
181178,33828139,1506550
181179,05159822,2321826
181180,05159822,411138
181181,02838109,1355844
181182,06230932,1294754
181183,06230932,673752
181184,18581928,1638767
181185,18581928,1496773
181186,18581928,1527698
181187,67821984,1189471
181188,01846359,2207746
181189,67821984,1783009
181190,02838109,1610145
181191,92019399,1731090
181192,06230932,1760799
181193,92019399,2628181
181194,9831829,1621411
181195,92019399,2777167
181196,05159822,1404001
181197,18581928,2566776
181198,18539217,361996
181199,18581928,2805261
181200,33828139,1060317
181201,92019399,2037679
181202,67821984,1117222
181203,01846359,2038991
181204,18581928,1616509
181205,18581928,1113820
181206,18539217,2022362
181207,05159822,740573
181208,18539217,2323306
181209,92019399,2672319
181210,18581928,1085561
181211,92019399,903400
181212,9831829,2674482
181213,01846359,80233
181214,05159822,1142123
181215,05159822,450646
181216,33828139,169081
181217,9831829,2303504
181218,18539217,639126
181219,01846359,14489
181220,06230932,1500402
181221,18581928,1356327
181222,18581928,320199
181223,01846359,2140329
181224,18581928,2873737
181225,06230932,1817382
181226,06230932,163523
181227,9831829,1034961
181228,05159822,1468979
181229,01846359,2985105
181230,06230932,1438079
181231,06230932,209384
181232,9831829,1426080
181233,9831829,2606023
181234,06230932,1112617
181235,05159822,1539315
181236,67821984,255818
181237,06230932,2009886
181238,05159822,278677
181239,05159822,2636820
181240,33828139,1797875
181241,05159822,2025107
181242,92019399,1275801
181243,05159822,2802357
181244,01846359,130291
181245,02838109,2406672
181246,33828139,2766427
181247,18539217,1848904
181248,05159822,643418
181249,05159822,439409
181250,18581928,1218887
181251,02838109,317325
181252,01846359,2159067
181253,01846359,520107
181254,92019399,2018309
181255,06230932,1980655
181256,9831829,1497712
181257,06230932,1345223
181258,06230932,877445
181259,33828139,403254
181260,92019399,195288
181261,67821984,2593152
181262,01846359,139584
181263,67821984,1256187
181264,18581928,447938
181265,05159822,1069013
181266,92019399,364706
181267,9831829,2402822
181268,06230932,1812393
181269,06230932,2527172
181270,92019399,2790362
181271,02838109,666505
181272,01846359,668844
181273,67821984,2524677
181274,92019399,1775098
181275,9831829,1565893
181276,05159822,1986149
181277,05159822,2979880
181278,9831829,1902809
181279,18539217,2081022
181280,9831829,2022808
181281,92019399,92035
181282,9831829,2640812
181283,06230932,1301407
181284,18539217,2755135
181285,33828139,2571669
181286,06230932,159283
181287,67821984,2766792
181288,02838109,164727
181289,05159822,2765420
181290,92019399,257339
181291,18581928,1801479
181292,9831829,1830345
181293,18539217,2094960
181294,18539217,1929457
181295,18581928,929183
181296,67821984,2463157
181297,02838109,2718673
181298,67821984,2064867
181299,33828139,1193688
181300,9831829,745592
181301,05159822,294141
